id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
233020190424 ,2019/4/24,2330,台積電,270,270,267.5,269,26450,半導體業
233020190423 ,2019/4/23,2330,台積電,266.5,268,266,268,25337,半導體業
233020190422 ,2019/4/22,2330,台積電,266.5,267.5,265,266,24967,半導體業
233020190419 ,2019/4/19,2330,台積電,269,269.5,263.5,264.5,44659,半導體業
233020190418 ,2019/4/18,2330,台積電,264,266,263.5,264.5,38007,半導體業
233020190417 ,2019/4/17,2330,台積電,260,263,259.5,261.5,37864,半導體業
233020190416 ,2019/4/16,2330,台積電,257,257,255.5,257,19653,半導體業
233020190415 ,2019/4/15,2330,台積電,255,256,254,255.5,17156,半導體業
233020190412 ,2019/4/12,2330,台積電,251.5,253,251,252,13548,半導體業
233020190411 ,2019/4/11,2330,台積電,253,254,251.5,252,24897,半導體業
233020190410 ,2019/4/10,2330,台積電,253,254.5,252,254,25850,半導體業
233020190409 ,2019/4/9,2330,台積電,253,254,252,254,22356,半導體業
233020190408 ,2019/4/8,2330,台積電,251,253,250.5,253,45185,半導體業
233020190403 ,2019/4/3,2330,台積電,249,249,246.5,246.5,24945,半導體業
233020190402 ,2019/4/2,2330,台積電,249.5,249.5,246,246,24105,半導體業
233020190401 ,2019/4/1,2330,台積電,251,251,245,245.5,35331,半導體業
233020190329 ,2019/3/29,2330,台積電,243,245.5,240.5,245.5,28221,半導體業
233020190328 ,2019/3/28,2330,台積電,240.5,242.5,240,242,13933,半導體業
233020190327 ,2019/3/27,2330,台積電,242,242.5,240.5,241.5,22590,半導體業
233020190326 ,2019/3/26,2330,台積電,243,244,241,244,19920,半導體業
233020190325 ,2019/3/25,2330,台積電,240.5,243.5,240.5,241.5,19211,半導體業
233020190322 ,2019/3/22,2330,台積電,248,248.5,244.5,248.5,22931,半導體業
233020190321 ,2019/3/21,2330,台積電,242.5,245.5,241,245.5,26180,半導體業
233020190320 ,2019/3/20,2330,台積電,242,242,239.5,242,22976,半導體業
233020190319 ,2019/3/19,2330,台積電,239,240.5,238,240.5,14479,半導體業
233020190318 ,2019/3/18,2330,台積電,239.5,241,239,241,26857,半導體業
233020190315 ,2019/3/15,2330,台積電,237,239.5,235.5,239,33650,半導體業
233020190314 ,2019/3/14,2330,台積電,239,239,234,234.5,17175,半導體業
233020190313 ,2019/3/13,2330,台積電,234,237,234,237,20500,半導體業
233020190312 ,2019/3/12,2330,台積電,233,237,232.5,235.5,23588,半導體業
233020190311 ,2019/3/11,2330,台積電,228,230.5,227.5,230.5,23201,半導體業
233020190308 ,2019/3/8,2330,台積電,231,231.5,229,230,22191,半導體業
233020190307 ,2019/3/7,2330,台積電,235,235,233,234,17126,半導體業
233020190306 ,2019/3/6,2330,台積電,235,235.5,233.5,234,20433,半導體業
233020190305 ,2019/3/5,2330,台積電,234,234.5,232.5,233,22641,半導體業
233020190304 ,2019/3/4,2330,台積電,239.5,239.5,234.5,235.5,39656,半導體業
233020190227 ,2019/2/27,2330,台積電,238.5,239.5,237,239,35241,半導體業
233020190226 ,2019/2/26,2330,台積電,239,240,236.5,239.5,24523,半導體業
233020190225 ,2019/2/25,2330,台積電,237.5,239,236,238,24105,半導體業
233020190222 ,2019/2/22,2330,台積電,235.5,236.5,234,236.5,22032,半導體業
233020190221 ,2019/2/21,2330,台積電,235.5,236.5,234.5,236.5,33764,半導體業
233020190220 ,2019/2/20,2330,台積電,231.5,234.5,231,234.5,30480,半導體業
233020190219 ,2019/2/19,2330,台積電,230,230.5,229,229,16577,半導體業
233020190218 ,2019/2/18,2330,台積電,229,230.5,228.5,230,16979,半導體業
233020190215 ,2019/2/15,2330,台積電,229,229,226.5,227,22370,半導體業
233020190214 ,2019/2/14,2330,台積電,229.5,230,226,227,23648,半導體業
233020190213 ,2019/2/13,2330,台積電,232,232,228.5,229,28635,半導體業
233020190212 ,2019/2/12,2330,台積電,230,230,229,230,29407,半導體業
233020190211 ,2019/2/11,2330,台積電,228,229,226.5,228,78307,半導體業
233020190130 ,2019/1/30,2330,台積電,220.5,221.5,220,221,44756,半導體業
233020190129 ,2019/1/29,2330,台積電,222.5,225,222,222.5,41123,半導體業
233020190128 ,2019/1/28,2330,台積電,229.5,229.5,228,229,26026,半導體業
233020190125 ,2019/1/25,2330,台積電,226.5,227,225,226,46693,半導體業
233020190124 ,2019/1/24,2330,台積電,222.5,222.5,220.5,222.5,26418,半導體業
233020190123 ,2019/1/23,2330,台積電,221.5,222,220,220.5,16671,半導體業
233020190122 ,2019/1/22,2330,台積電,220,223,219,223,28926,半導體業
233020190121 ,2019/1/21,2330,台積電,220,223,220,221,29385,半導體業
233020190118 ,2019/1/18,2330,台積電,219,220,217.5,218.5,49628,半導體業
233020190117 ,2019/1/17,2330,台積電,218,221,218,220.5,21164,半導體業
233020190116 ,2019/1/16,2330,台積電,218.5,220,217.5,217.5,28978,半導體業
233020190115 ,2019/1/15,2330,台積電,216.5,221,215.5,221,38883,半導體業
233020190114 ,2019/1/14,2330,台積電,218.5,220,217,218.5,17612,半導體業
233020190111 ,2019/1/11,2330,台積電,219,220.5,218,220.5,28102,半導體業
233020190110 ,2019/1/10,2330,台積電,216,216.5,214.5,216,20755,半導體業
233020190109 ,2019/1/9,2330,台積電,212,216.5,211,215.5,46295,半導體業
233020190108 ,2019/1/8,2330,台積電,212,212.5,210,211,22694,半導體業
233020190107 ,2019/1/7,2330,台積電,212,214,211,213,35442,半導體業
233020190104 ,2019/1/4,2330,台積電,211.5,211.5,206.5,208,65944,半導體業
233020190103 ,2019/1/3,2330,台積電,214,218,214,215.5,34088,半導體業
233020190102 ,2019/1/2,2330,台積電,226.5,226.5,219,219.5,32900,半導體業
233020181228 ,2018/12/28,2330,台積電,223.5,225.5,222.5,225.5,29457,半導體業
233020181227 ,2018/12/27,2330,台積電,222,224,220.5,223,21491,半導體業
233020181226 ,2018/12/26,2330,台積電,218.5,219.5,216,216.5,16463,半導體業
233020181225 ,2018/12/25,2330,台積電,215.5,218,215,217.5,19403,半導體業
233020181224 ,2018/12/24,2330,台積電,221.5,221.5,219.5,220,22976,半導體業
233020181222 ,2018/12/22,2330,台積電,220,221.5,220,221.5,5185,半導體業
233020181221 ,2018/12/21,2330,台積電,219,224,219,223.5,43530,半導體業
233020181220 ,2018/12/20,2330,台積電,221,222.5,221,221,35112,半導體業
233020181219 ,2018/12/19,2330,台積電,222,225.5,222,225.5,23415,半導體業
233020181218 ,2018/12/18,2330,台積電,221,223,220.5,222.5,30211,半導體業
233020181217 ,2018/12/17,2330,台積電,221,225,220,223.5,18965,半導體業
233020181214 ,2018/12/14,2330,台積電,223,223.5,220.5,222.5,38661,半導體業
233020181213 ,2018/12/13,2330,台積電,227,227.5,225,226,32105,半導體業
233020181212 ,2018/12/12,2330,台積電,223.5,227,222.5,226.5,26480,半導體業
233020181211 ,2018/12/11,2330,台積電,220,223,219,222.5,27395,半導體業
233020181210 ,2018/12/10,2330,台積電,219.5,220,218.5,219,19447,半導體業
233020181207 ,2018/12/7,2330,台積電,222.5,223.5,220.5,221,25078,半導體業
233020181206 ,2018/12/6,2330,台積電,220,222,219.5,220,40181,半導體業
233020181205 ,2018/12/5,2330,台積電,226.5,227.5,225,226,42856,半導體業
233020181204 ,2018/12/4,2330,台積電,233,234.5,231,234,39758,半導體業
233020181203 ,2018/12/3,2330,台積電,231,235,231,235,45365,半導體業
233020181130 ,2018/11/30,2330,台積電,229.5,231,225.5,225.5,55897,半導體業
233020181129 ,2018/11/29,2330,台積電,231.5,231.5,229,229,44411,半導體業
233020181128 ,2018/11/28,2330,台積電,222.5,227,222,226.5,24467,半導體業
233020181127 ,2018/11/27,2330,台積電,220,224.5,219,224,26598,半導體業
233020181126 ,2018/11/26,2330,台積電,219,224,218.5,223,30627,半導體業
233020181123 ,2018/11/23,2330,台積電,220.5,220.5,217,218.5,14993,半導體業
233020181122 ,2018/11/22,2330,台積電,221.5,222,219,219,21981,半導體業
233020181121 ,2018/11/21,2330,台積電,214.5,220,214,219,35303,半導體業
233020181120 ,2018/11/20,2330,台積電,219,220.5,218,218,41634,半導體業
233020181119 ,2018/11/19,2330,台積電,225,225,221,222,48967,半導體業
233020181116 ,2018/11/16,2330,台積電,229,229,225,226,46767,半導體業
233020181115 ,2018/11/15,2330,台積電,229.5,232,228.5,231,22079,半導體業
233020181114 ,2018/11/14,2330,台積電,230,231,228.5,228.5,20034,半導體業
233020181113 ,2018/11/13,2330,台積電,224.5,228,224.5,227.5,36123,半導體業
233020181112 ,2018/11/12,2330,台積電,230,234.5,230,231.5,23238,半導體業
233020181109 ,2018/11/9,2330,台積電,234.5,234.5,231,231,23242,半導體業
233020181108 ,2018/11/8,2330,台積電,237.5,237.5,236,236.5,24748,半導體業
233020181107 ,2018/11/7,2330,台積電,233,236,232.5,234,34444,半導體業
233020181106 ,2018/11/6,2330,台積電,234,235.5,232.5,234.5,30522,半導體業
