t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2017/1/3,2891,17.7,17.75,17.6,17.7,11887,7670267,-2557,0,-1863,1.1,9.47,9.1,º¦,1,0
2017/1/4,2891,17.7,17.8,17.65,17.8,14347,7671777,1510,0,-1885,1.11,9.52,9.04,º¦,1,0
2017/1/5,2891,17.8,18,17.8,18,31299,7683007,11145,143,-227,1.12,9.63,8.94,º¦,1,0
2017/1/6,2891,18,18,17.85,18,18886,7687446,4338,22,-389,1.12,9.63,8.94,¥­,0,0
2017/1/9,2891,18,18,17.85,18,15943,7686452,-1018,0,-1500,1.12,9.63,8.94,¥­,0,0
2017/1/10,2891,18,18,17.85,18,21721,7695544,8976,0,-217,1.12,9.63,8.94,¥­,0,0
2017/1/11,2891,18,18,17.9,18,21422,7699127,3540,0,-2004,1.12,9.63,8.94,¥­,0,0
2017/1/12,2891,18,18,17.95,18,24586,7702954,3810,0,189,1.12,9.63,8.94,¥­,0,0
2017/1/13,2891,18,18,17.85,17.95,21626,7704862,1908,0,-366,1.12,9.6,8.97,¶^,0,1
2017/1/16,2891,17.9,17.9,17.6,17.7,27184,7703802,-1014,0,-1195,1.1,9.47,9.1,¶^,0,1
2017/1/17,2891,17.65,17.85,17.6,17.75,18804,7699996,-3806,0,1251,1.11,9.49,9.07,º¦,1,0
2017/1/18,2891,17.8,17.8,17.65,17.7,18701,7695269,-4994,157,-1309,1.1,9.47,9.1,¶^,0,1
2017/1/19,2891,17.65,17.65,17.5,17.55,44846,7679981,-15288,-162,-1841,1.1,9.39,9.17,¶^,0,1
2017/1/20,2891,17.55,17.65,17.5,17.55,18338,7672846,-6797,0,-90,1.1,9.39,9.17,¥­,0,0
2017/1/23,2891,17.65,17.75,17.6,17.7,30560,7679905,7060,4,-237,1.1,9.47,9.1,º¦,1,0
2017/1/24,2891,17.9,17.95,17.7,17.8,37916,7696964,17059,24,-279,1.11,9.52,9.04,º¦,1,0
2017/2/2,2891,18.1,18.15,17.75,17.85,94191,7719997,21272,0,5,1.11,9.55,9.02,º¦,1,0
