t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2014/7/22,20,2884,12863,3497832,6673,29,-686,1.29,12.82,5.8,B
2014/7/24,20,2884,8739,3502465,4686,29,164,1.29,12.82,5.8,E
2014/7/25,20.15,2884,21881,3512659,10008,309,280,1.3,12.92,5.76,D
2014/7/28,20.35,2884,15093,3522531,9872,0,-393,1.32,13.04,5.7,E
2014/7/29,20.5,2884,30629,3538740,16512,29,-952,1.33,13.14,5.66,E
2014/7/30,20.5,2884,17792,3545748,6972,45,-310,1.33,13.14,5.66,D
2014/7/31,20.05,2884,19671,3545682,358,61,561,1.3,12.85,5.79,D
2014/8/1,20,2884,9227,3545592,0,42,42,1.29,12.82,5.8,D
2014/8/4,19.85,2884,9133,3542344,-2923,-1,-77,1.28,12.72,5.84,D
2014/8/5,19.45,2884,20309,3540291,-1771,0,-1528,1.26,12.47,5.96,C
2014/8/6,19.6,2884,19469,3546635,6710,12,3,1.27,12.56,5.92,C
2014/8/7,19.8,2884,10890,3547656,1021,558,-1336,1.28,12.69,5.86,C
2014/8/8,19.6,2884,8282,3551730,1583,77,-258,1.27,12.56,5.92,B
2014/8/11,19.7,2884,8287,3549386,-2344,26,-407,1.28,12.63,5.89,B
2014/8/12,19.75,2884,7166,3548032,-1353,20,-616,1.28,12.66,5.87,D
2014/8/13,20,2884,11271,3554003,5971,12,-1827,1.29,12.82,5.8,D
2014/8/14,20,2884,11202,3555030,-81,34,-712,1.29,12.82,5.8,D
2014/8/15,20.05,2884,9997,3556977,1070,14,345,1.3,12.85,5.79,D
2014/8/18,19.8,2884,12164,3560103,301,26,1289,1.28,12.69,5.86,D
2014/8/19,20.1,2884,19617,3562859,2756,6,5061,1.3,12.88,5.77,D
2014/8/20,20.3,2884,33091,3561282,-2541,7,7652,1.31,13.01,5.71,E
2014/8/21,18.85,2884,41354,3566476,5186,60,-9125,1.22,12.08,6.15,B
2014/8/22,19.5,2884,47535,3582523,16139,674,226,1.26,12.5,5.95,D
2014/8/25,19.4,2884,19951,3586810,4275,194,-947,1.26,12.44,5.98,D
2014/8/26,19.65,2884,14305,3596811,9980,3,-2244,1.27,12.6,5.9,D
2014/8/27,19.75,2884,13477,3603312,6561,154,-880,1.28,12.66,5.87,D
