id,t_date,code,name,p_open,p_high,p_low,p_close,volume
2.8872E+11,2019/7/24,2887,台新金,14.7,14.75,14.55,14.55,15040
2.8872E+11,2019/7/23,2887,台新金,14.8,14.8,14.6,14.65,18728
2.8872E+11,2019/7/22,2887,台新金,14.75,14.8,14.7,14.75,12643
2.8872E+11,2019/7/19,2887,台新金,14.7,14.75,14.7,14.7,14777
2.8902E+11,2019/7/24,2890,永豐金,12.5,12.6,12.4,12.45,22137
2.8902E+11,2019/7/23,2890,永豐金,12.6,12.6,12.4,12.5,17782
2.8902E+11,2019/7/22,2890,永豐金,12.65,12.7,12.55,12.6,13717
2.8902E+11,2019/7/19,2890,永豐金,12.65,12.85,12.65,12.65,17166
1.4022E+11,2019/7/24,1402,遠東新,30.8,31.05,30.5,30.5,6208
1.4022E+11,2019/7/23,1402,遠東新,31.25,31.35,30.7,30.8,11921
1.4022E+11,2019/7/22,1402,遠東新,31.6,31.7,31.25,31.25,7871
1.4022E+11,2019/7/19,1402,遠東新,32.2,32.2,31.5,31.5,15618
2.8832E+11,2019/7/24,2883,開發金,9.26,9.29,9.25,9.27,13545
2.8832E+11,2019/7/23,2883,開發金,9.32,9.33,9.26,9.26,18120
2.8832E+11,2019/7/22,2883,開發金,9.32,9.36,9.31,9.32,8772
2.8832E+11,2019/7/19,2883,開發金,9.33,9.4,9.32,9.32,12975
2.8012E+11,2019/7/24,2801,彰銀,21.55,21.8,21.55,21.8,8647
2.8012E+11,2019/7/23,2801,彰銀,21.85,21.85,21.6,21.6,7978
2.8012E+11,2019/7/22,2801,彰銀,21.85,22,21.75,21.85,8841
2.8012E+11,2019/7/19,2801,彰銀,21.75,21.95,21.75,21.85,12663
4.9042E+11,2019/7/24,4904,遠傳,72.5,72.5,71.6,71.6,2238
4.9042E+11,2019/7/23,4904,遠傳,72,72.4,71.9,72.2,2008
4.9042E+11,2019/7/22,4904,遠傳,72,72.2,71.8,72,1807
4.9042E+11,2019/7/19,4904,遠傳,71.8,72.2,71.7,72,2161
1.1022E+11,2019/7/24,1102,亞泥,43.2,43.55,42.9,42.9,23172
1.1022E+11,2019/7/23,1102,亞泥,46.8,46.85,46.05,46.8,19007
1.1022E+11,2019/7/22,1102,亞泥,46.9,46.9,46.2,46.35,11861
